dose	dose_unit	IRS_per_vol	adp	atp	atp_adp	atp_ratio	dhap	f26bp	f6p	fbp	fbp_dhap	fbp_dhap_grap	g6p	glc	grap	ins_ext	lac	nad	nadh	nadh_nad	nadh_ratio	pep	pg2	pg3	phos	pyr	unit	measurement	species	study	experiment
2.8	mM																1.2219032328987065										mM	concentration	all	mean	Experiment15
3.0	mM																1.2360320041186599										mM	concentration	all	mean	Experiment15
7.0	mM																1.4654633307426757										mM	concentration	all	mean	Experiment15
10.0	mM																1.5840780988813175										mM	concentration	all	mean	Experiment15
11.7	mM																1.6369168575108533										mM	concentration	all	mean	Experiment15
16.7	mM																1.7599263150875464										mM	concentration	all	mean	Experiment15
17.0	mM																1.7667239941126225										mM	concentration	all	mean	Experiment15
20.0	mM																1.8381208147561465										mM	concentration	all	mean	Experiment15
35.0	mM																2.712265144902413										mM	concentration	all	mean	Experiment15
																															
0.0	mM																	0.5850188297370316									mM	concentration	all	mean	Experiment16
1.67	mM																	0.6416320879909109									mM	concentration	all	mean	Experiment16
2.8	mM																	0.6746007153872049									mM	concentration	all	mean	Experiment16
8.3	mM																	0.7828776451016836									mM	concentration	all	mean	Experiment16
11.1	mM																	0.8114992969700646									mM	concentration	all	mean	Experiment16
16.7	mM																	0.8352725375944277									mM	concentration	all	mean	Experiment16
27.8	mM																	0.8620098066249812									mM	concentration	all	mean	Experiment16
28.0	mM																	0.8634212799265207									mM	concentration	all	mean	Experiment16
																															
0.0	mM																		0.12918577245295043								mM	concentration	all	mean	Experiment17
1.67	mM																		0.1499417513076391								mM	concentration	all	mean	Experiment17
2.4	mM																		0.15887617473651872								mM	concentration	all	mean	Experiment17
2.8	mM																		0.16372927398629541								mM	concentration	all	mean	Experiment17
4.0	mM																		0.17808435430554737								mM	concentration	all	mean	Experiment17
8.3	mM																		0.22626582112521615								mM	concentration	all	mean	Experiment17
8.6	mM																		0.22939466927194843								mM	concentration	all	mean	Experiment17
11.1	mM																		0.25402398107701685								mM	concentration	all	mean	Experiment17
14.5	mM																		0.2827191024021239								mM	concentration	all	mean	Experiment17
16.0	mM																		0.2933304598558639								mM	concentration	all	mean	Experiment17
16.7	mM																		0.2978074040199792								mM	concentration	all	mean	Experiment17
27.8	mM																		0.3191327953345211								mM	concentration	all	mean	Experiment17
28.0	mM																		0.3185158392852129								mM	concentration	all	mean	Experiment17
																															
0.0	mM																			0.7345131310546738							mM	concentration	all	mean	Experiment18
